libsss_nss_idmap	libsss_nss_idmap-2.9.6-4.el9_6.3.x86_64
libsss_sudo	libsss_sudo-2.9.6-4.el9_6.3.x86_64
libstdc++	libstdc++-11.5.0-5.el9_5.x86_64
libtalloc	libtalloc-2.4.2-1.el9.x86_64
libtasn1	libtasn1-4.16.0-9.el9.x86_64
libtdb	libtdb-1.4.12-1.el9.x86_64
libteam	libteam-1.31-16.el9_1.x86_64
libtevent	libtevent-0.16.1-1.el9.x86_64
libtirpc	libtirpc-1.3.3-9.el9.x86_64
libtool-ltdl	libtool-ltdl-2.4.6-46.el9.x86_64
libunistring	libunistring-0.9.10-15.el9.x86_64
liburing	liburing-2.5-1.el9.x86_64
libusbx	libusbx-1.0.26-1.el9.x86_64
libuser	libuser-0.63-16.el9.x86_64
libutempter	libutempter-1.2.1-6.el9.x86_64
libuuid	libuuid-2.37.4-21.el9.x86_64
libuv	libuv-1.42.0-2.el9_4.x86_64
libverto-libev	libverto-libev-0.3.2-3.el9.x86_64
libverto	libverto-0.3.2-3.el9.x86_64
libwbclient	libwbclient-4.21.3-14.el9_6.x86_64
libxcrypt-compat	libxcrypt-compat-4.4.18-3.el9.x86_64
libxcrypt	libxcrypt-4.4.18-3.el9.x86_64
libxml2	libxml2-2.9.13-12.el9_6.1.x86_64
libxmlb	libxmlb-0.3.10-1.el9.x86_64
libxslt	libxslt-1.1.34-13.el9_6.1.x86_64
libyaml	libyaml-0.2.5-7.el9.x86_64
libzstd	libzstd-1.5.5-1.el9.x86_64
linux-firmware	linux-firmware-20251111-151.8.el9_6.noarch
linux-firmware-whence	linux-firmware-whence-20251111-151.8.el9_6.noarch
lldpad	lldpad-1.1.1-4.gitf1dd9eb.el9.x86_64
lmdb-libs	lmdb-libs-0.9.29-3.el9.x86_64
logrotate	logrotate-3.18.0-9.el9.x86_64
lsof	lsof-4.94.0-3.el9.x86_64
lua-libs	lua-libs-5.4.4-4.el9.x86_64
luksmeta	luksmeta-9-12.el9.x86_64
lvm2-libs	lvm2-libs-2.03.28-6.el9.x86_64
lvm2	lvm2-2.03.28-6.el9.x86_64
lz4-libs	lz4-libs-1.9.3-5.el9.x86_64
lzo	lzo-2.10-7.el9.x86_64
mdadm	mdadm-4.3-8.el9_6.x86_64
microcode_ctl	microcode_ctl-20250211-1.20260227.1.el9_6.noarch
mokutil	mokutil-0.6.0-4.el9.x86_64
mpfr	mpfr-4.1.0-7.el9.x86_64
nano	nano-5.6.1-7.el9.x86_64
ncurses-base	ncurses-base-6.2-10.20210508.el9_6.2.noarch
ncurses-libs	ncurses-libs-6.2-10.20210508.el9_6.2.x86_64
ncurses	ncurses-6.2-10.20210508.el9_6.2.x86_64
netavark	netavark-1.14.1-1.el9_6.x86_64
nettle	nettle-3.10.1-1.el9.x86_64
net-tools	net-tools-2.0-0.64.20160912git.el9.x86_64
NetworkManager-cloud-setup	NetworkManager-cloud-setup-1.52.0-9.el9_6.x86_64
NetworkManager-libnm	NetworkManager-libnm-1.52.0-9.el9_6.x86_64
NetworkManager	NetworkManager-1.52.0-9.el9_6.x86_64
NetworkManager-ovs	NetworkManager-ovs-1.52.0-9.el9_6.x86_64
NetworkManager-team	NetworkManager-team-1.52.0-9.el9_6.x86_64
NetworkManager-tui	NetworkManager-tui-1.52.0-9.el9_6.x86_64
newt	newt-0.52.21-11.el9.x86_64
nfs-utils	nfs-utils-2.5.4-34.el9_6.3.x86_64
nftables	nftables-1.0.9-4.el9_6.x86_64
nmap-ncat	nmap-ncat-7.92-3.el9.x86_64
nmstate	nmstate-2.2.57-1.el9_6.x86_64
npth	npth-1.6-8.el9.x86_64
nss-altfiles	nss-altfiles-2.18.1-20.el9.x86_64
numactl-libs	numactl-libs-2.0.19-1.el9.x86_64
numad	numad-0.5-37.20150602git.el9.x86_64
nvme-cli	nvme-cli-2.11-7.el9_6.x86_64
oniguruma	oniguruma-6.9.6-1.el9.6.x86_64
openldap	openldap-2.6.8-4.el9.x86_64
openshift-clients	openshift-clients-4.19.0-202603132148.p2.gb2a93a6.assembly.stream.el9.x86_64
openshift-kubelet	openshift-kubelet-4.19.0-202603122218.p2.ga674efa.assembly.stream.el9.x86_64
openssh-clients	openssh-clients-8.7p1-45.el9_6.1.x86_64
openssh	openssh-8.7p1-45.el9_6.1.x86_64
openssh-server	openssh-server-8.7p1-45.el9_6.1.x86_64
openssl-fips-provider	openssl-fips-provider-3.0.7-6.el9_5.x86_64
openssl-fips-provider-so	openssl-fips-provider-so-3.0.7-6.el9_5.x86_64
openssl-libs	openssl-libs-3.2.2-7.el9_6.2.x86_64
openssl	openssl-3.2.2-7.el9_6.2.x86_64
open-vm-tools	open-vm-tools-12.5.0-1.el9_6.2.x86_64
openvswitch3.5	openvswitch3.5-3.5.2-72.el9fdp.x86_64
openvswitch-selinux-extra-policy	openvswitch-selinux-extra-policy-1.0-39.el9fdp.noarch
ose-aws-ecr-image-credential-provider	ose-aws-ecr-image-credential-provider-4.19.0-202602241905.p2.g425c1c5.assembly.stream.el9.x86_64
