LAST SEEN   TYPE      REASON                    OBJECT                                                     MESSAGE
51m         Normal    Created                   pod/machine-api-operator-59d965c9c-d9jzf                   Container created
51m         Normal    FeatureGatesInitialized   deployment/machine-api-operator                            FeatureGates updated to featuregates.Features{Enabled:[]v1.FeatureGateName{"AWSServiceLBNetworkSecurityGroup", "AzureClusterHostedDNSInstall", "AzureWorkloadIdentity", "BootImageSkewEnforcement", "BuildCSIVolumes", "ConsolePluginContentSecurityPolicy", "DualReplica", "EventTTL", "ExternalOIDC", "ExternalOIDCWithUIDAndExtraClaimMappings", "GatewayAPIWithoutOLM", "ImageStreamImportMode", "InsightsConfig", "InsightsOnDemandDataGather", "KMSv1", "ManagedBootImagesCPMS", "MetricsCollectionProfiles", "MutableCSINodeAllocatableCount", "NewOLM", "NewOLMWebhookProviderOpenshiftServiceCA", "RouteExternalCertificate", "ServiceAccountTokenNodeBinding", "SigstoreImageVerification", "SigstoreImageVerificationPKI", "StoragePerformantSecurityPolicy", "UpgradeStatus", "UserNamespacesPodSecurityStandards", "UserNamespacesSupport", "VSphereHostVMGroupZonal", "VSphereMultiDisk", "VSphereMultiNetworks"}, Disabled:[]v1.FeatureGateName{"AWSClusterHostedDNS", "AWSClusterHostedDNSInstall", "AWSDedicatedHosts", "AWSDualStackInstall", "AWSEuropeanSovereignCloudInstall", "AdditionalStorageConfig", "AutomatedEtcdBackup", "AzureDedicatedHosts", "AzureDualStackInstall", "AzureMultiDisk", "BootcNodeManagement", "CBORServingAndStorage", "CRDCompatibilityRequirementOperator", "CRIOCredentialProviderConfig", "ClientsAllowCBOR", "ClientsPreferCBOR", "ClusterAPIComputeInstall", "ClusterAPIControlPlaneInstall", "ClusterAPIInstall", "ClusterAPIInstallIBMCloud", "ClusterAPIMachineManagement", "ClusterAPIMachineManagementAWS", "ClusterAPIMachineManagementAzure", "ClusterAPIMachineManagementBareMetal", "ClusterAPIMachineManagementGCP", "ClusterAPIMachineManagementOpenStack", "ClusterAPIMachineManagementPowerVS", "ClusterAPIMachineManagementVSphere", "ClusterMonitoringConfig", "ClusterUpdateAcceptRisks", "ClusterUpdatePreflight", "ClusterVersionOperatorConfiguration", "ConfidentialCluster", "ConfigurablePKI", "DNSNameResolver", "DRAPartitionableDevices", "DyanmicServiceEndpointIBMCloud", "EVPN", "EtcdBackendQuota", "EventedPLEG", "Example", "Example2", "ExternalOIDCExternalClaimsSourcing", "ExternalOIDCWithUpstreamParity", "ExternalSnapshotMetadata", "GCPCustomAPIEndpoints", "GCPCustomAPIEndpointsInstall", "GCPDualStackInstall", "HyperShiftOnlyDynamicResourceAllocation", "ImageModeStatusReporting", "IngressControllerDynamicConfigurationManager", "IrreconcilableMachineConfig", "KMSEncryption", "KMSEncryptionProvider", "MachineAPIMigration", "MachineAPIMigrationAWS", "MachineAPIMigrationOpenStack", "MachineAPIMigrationVSphere", "MachineAPIOperatorDisableMachineHealthCheckController", "MaxUnavailableStatefulSet", "MinimumKubeletVersion", "MixedCPUsAllocation", "MultiArchInstallAzure", "MultiDiskSetup", "MutatingAdmissionPolicy", "NetworkConnect", "NewOLMBoxCutterRuntime", "NewOLMCatalogdAPIV1Metas", "NewOLMConfigAPI", "NewOLMOwnSingleNamespace", "NewOLMPreflightPermissionChecks", "NoOverlayMode", "NoRegistryClusterInstall", "NutanixMultiSubnets", "OSStreams", "OVNObservability", "OnPremDNSRecords", "OpenShiftPodSecurityAdmission", "ProvisioningRequestAvailable", "SELinuxMount", "ShortCertRotation", "SignatureStores", "TLSAdherence", "VSphereConfigurableMaxAllowedBlockVolumesPerNode", "VSphereMixedNodeEnv", "VSphereMultiVCenterDay2", "VolumeGroupSnapshot"}}
51m         Normal    ScalingReplicaSet         deployment/machine-api-controllers                         Scaled up replica set machine-api-controllers-5f444756bc from 0 to 1
51m         Normal    SuccessfulCreate          replicaset/machine-api-controllers-5f444756bc              Created pod: machine-api-controllers-5f444756bc-487s2
51m         Normal    Scheduled                 pod/machine-api-controllers-5f444756bc-487s2               Successfully assigned openshift-machine-api/machine-api-controllers-5f444756bc-487s2 to ci-ln-rm0x8pk-1d09d-vkpbd-master-2
51m         Normal    AddedInterface            pod/machine-api-controllers-5f444756bc-487s2               Add eth0 [10.130.0.28/23] from ovn-kubernetes
51m         Normal    Pulling                   pod/machine-api-controllers-5f444756bc-487s2               Pulling image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2771463ad1c57c8e16e8de52aaa3815ab7f6670dc1f247f3af51b5d8fadc62b7"
50m         Normal    Pulled                    pod/machine-api-controllers-5f444756bc-487s2               Successfully pulled image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2771463ad1c57c8e16e8de52aaa3815ab7f6670dc1f247f3af51b5d8fadc62b7" in 48.43s (48.431s including waiting). Image size: 845349998 bytes.
50m         Normal    Created                   pod/machine-api-controllers-5f444756bc-487s2               Container created
50m         Normal    Started                   pod/machine-api-controllers-5f444756bc-487s2               Container started
